step time Total Potential Kinetic Kinetic_1 Kinetic_2 Kinetic_3
275 0.275 -0.0324713 -0.0654204 0.0329491 9.66136e-05 0.0195653 0.0132872
276 0.276 -0.0324695 -0.0654179 0.0329484 9.7148e-05 0.0195638 0.0132875
277 0.277 -0.0324677 -0.0654154 0.0329477 9.76823e-05 0.0195623 0.0132877
278 0.278 -0.0324659 -0.0654129 0.032947 9.82162e-05 0.0195608 0.013288
279 0.279 -0.0324641 -0.0654103 0.0329463 9.87499e-05 0.0195592 0.0132883
280 0.28 -0.0324623 -0.0654078 0.0329455 9.92834e-05 0.0195577 0.0132885
281 0.281 -0.0324605 -0.0654053 0.0329448 9.98165e-05 0.0195562 0.0132888
282 0.282 -0.0324587 -0.0654027 0.032944 0.000100349 0.0195546 0.013289
283 0.283 -0.0324569 -0.0654001 0.0329433 0.000100882 0.0195531 0.0132893
284 0.284 -0.0324551 -0.0653976 0.0329425 0.000101414 0.0195516 0.0132895
285 0.285 -0.0324533 -0.065395 0.0329417 0.000101945 0.01955 0.0132898
286 0.286 -0.0324515 -0.0653924 0.0329409 0.000102477 0.0195485 0.01329
287 0.287 -0.0324497 -0.0653898 0.0329402 0.000103008 0.0195469 0.0132902
288 0.288 -0.0324479 -0.0653872 0.0329394 0.000103538 0.0195453 0.0132905
289 0.289 -0.0324461 -0.0653846 0.0329385 0.000104068 0.0195438 0.0132907
290 0.29 -0.0324443 -0.065382 0.0329377 0.000104598 0.0195422 0.0132909
291 0.291 -0.0324425 -0.0653794 0.0329369 0.000105127 0.0195406 0.0132912
292 0.292 -0.0324407 -0.0653767 0.0329361 0.000105655 0.019539 0.0132914
293 0.293 -0.0324389 -0.0653741 0.0329352 0.000106183 0.0195374 0.0132916
294 0.294 -0.0324371 -0.0653714 0.0329344 0.000106711 0.0195359 0.0132918
295 0.295 -0.0324353 -0.0653688 0.0329335 0.000107238 0.0195343 0.013292
296 0.296 -0.0324335 -0.0653661 0.0329327 0.000107764 0.0195327 0.0132922
297 0.297 -0.0324317 -0.0653634 0.0329318 0.00010829 0.019531 0.0132924
298 0.298 -0.0324299 -0.0653608 0.0329309 0.000108815 0.0195294 0.0132926
299 0.299 -0.0324281 -0.0653581 0.03293 0.000109339 0.0195278 0.0132928
300 0.3 -0.0324263 -0.0653554 0.0329291 0.000109863 0.0195262 0.013293
301 0.301 -0.0324245 -0.0653527 0.0329282 0.000110386 0.0195246 0.0132932
302 0.302 -0.0324227 -0.0653499 0.0329273 0.000110909 0.0195229 0.0132934
303 0.303 -0.0324209 -0.0653472 0.0329263 0.000111431 0.0195213 0.0132936
304 0.304 -0.0324191 -0.0653445 0.0329254 0.000111952 0.0195197 0.0132938
